ITEM;TimeStamp;Fecha-Hora;Temp2M;RH2M;PreS;Rain;;;
3634;;1/6/2023 9:00;9.4;87.09;70.31;9.31;;;
3635;;1/6/2023 10:00;10.52;84.31;70.31;9.43;;;
3636;;1/6/2023 11:00;11.41;82.09;70.29;10.03;;;
3637;;1/6/2023 12:00;11.78;80.78;70.25;11.12;;;
3638;;1/6/2023 13:00;11.81;80.57;70.2;10.91;;;
3639;;1/6/2023 14:00;11.52;81.1;70.16;8.89;;;
3640;;1/6/2023 15:00;10.84;83.1;70.14;6.16;;;
3641;;1/6/2023 16:00;9.97;86.24;70.13;3.94;;;
3642;;1/6/2023 17:00;8.94;91.19;70.15;3.22;;;
3643;;1/6/2023 18:00;7.87;96.22;70.18;3.75;;;
3644;;1/6/2023 19:00;7.49;97.09;70.23;3.63;;;
3645;;1/6/2023 20:00;7.08;97.48;70.28;3.04;;;
3646;;1/6/2023 21:00;6.66;97.99;70.31;2.49;;;
3647;;1/6/2023 22:00;6.28;98.58;70.31;2.18;;;
3648;;1/6/2023 23:00;6.03;99.2;70.28;1.78;;;
3649;;2/6/2023 0:00;6.01;99.16;70.24;1.38;;;
3650;;2/6/2023 1:00;5.97;98.99;70.19;1.21;;;
3651;;2/6/2023 2:00;6.11;98.33;70.14;1.18;;;
3652;;2/6/2023 3:00;6.19;97.88;70.12;1.31;;;
3653;;2/6/2023 4:00;6.14;97.86;70.12;1.62;;;
3654;;2/6/2023 5:00;6.15;97.81;70.13;2.6;;;
3655;;2/6/2023 6:00;6.78;97.29;70.15;4.86;;;
3656;;2/6/2023 7:00;8.63;94.66;70.18;1.02;;;
3657;;2/6/2023 8:00;10.15;91.88;70.22;1.11;;;
3658;;2/6/2023 9:00;11.44;87.47;70.23;1.16;;;
3659;;2/6/2023 10:00;12.62;82.45;70.24;1.3;;;
3660;;2/6/2023 11:00;13.31;78.36;70.22;1.36;;;
3661;;2/6/2023 12:00;13.58;76.16;70.18;1.43;;;
3662;;2/6/2023 13:00;13.72;75.55;70.13;1.5;;;
3663;;2/6/2023 14:00;13.32;76.46;70.06;1.64;;;
3664;;2/6/2023 15:00;12.89;78.07;70.02;1.72;;;
3665;;2/6/2023 16:00;11.98;82.07;70.01;1.62;;;
3666;;2/6/2023 17:00;10.81;88.54;70.03;1.26;;;
3667;;2/6/2023 18:00;9.42;96.18;70.06;0.96;;;
3668;;2/6/2023 19:00;8.77;98.7;70.11;0.69;;;
3669;;2/6/2023 20:00;8.18;100.0;70.16;0.45;;;
3670;;2/6/2023 21:00;7.74;100.0;70.19;0.33;;;
3671;;2/6/2023 22:00;7.36;100.0;70.2;0.28;;;
3672;;2/6/2023 23:00;6.89;100.0;70.18;0.26;;;
3673;;3/6/2023 0:00;6.37;100.0;70.13;0.26;;;
3674;;3/6/2023 1:00;5.98;100.0;70.07;0.26;;;
3675;;3/6/2023 2:00;5.75;100.0;70.02;0.26;;;
3676;;3/6/2023 3:00;5.48;100.0;70.0;0.26;;;
3677;;3/6/2023 4:00;5.16;100.0;70.02;0.28;;;
3678;;3/6/2023 5:00;4.96;100.0;70.05;0.3;;;
3679;;3/6/2023 6:00;5.72;99.12;70.08;0.31;;;
3680;;3/6/2023 7:00;8.31;93.0;70.12;0.57;;;
3681;;3/6/2023 8:00;10.57;87.17;70.16;0.71;;;
3682;;3/6/2023 9:00;12.39;81.09;70.18;1.13;;;
3683;;3/6/2023 10:00;13.8;76.78;70.19;1.93;;;
3684;;3/6/2023 11:00;14.44;75.06;70.17;2.78;;;
3685;;3/6/2023 12:00;14.62;74.6;70.12;3.37;;;
3686;;3/6/2023 13:00;14.55;74.88;70.06;3.26;;;
3687;;3/6/2023 14:00;14.18;76.14;69.99;3.23;;;
3688;;3/6/2023 15:00;13.68;77.97;69.96;2.99;;;
3689;;3/6/2023 16:00;12.88;81.47;69.95;2.47;;;
3690;;3/6/2023 17:00;11.66;88.47;69.96;2.05;;;
3691;;3/6/2023 18:00;10.29;96.51;70.0;2.16;;;
3692;;3/6/2023 19:00;9.78;98.47;70.05;2.21;;;
3693;;3/6/2023 20:00;9.44;98.86;70.11;2.58;;;
3694;;3/6/2023 21:00;9.1;99.28;70.16;2.91;;;
3695;;3/6/2023 22:00;8.56;99.7;70.17;3.0;;;
3696;;3/6/2023 23:00;8.0;100.0;70.18;1.83;;;
3697;;4/6/2023 0:00;7.63;100.0;70.17;0.93;;;
3698;;4/6/2023 1:00;7.26;100.0;70.13;0.61;;;
3699;;4/6/2023 2:00;6.75;100.0;70.09;0.47;;;
3700;;4/6/2023 3:00;6.18;100.0;70.07;0.43;;;
3701;;4/6/2023 4:00;5.72;100.0;70.08;0.36;;;
3702;;4/6/2023 5:00;5.66;100.0;70.11;0.29;;;
3703;;4/6/2023 6:00;6.32;98.55;70.14;0.34;;;
3704;;4/6/2023 7:00;8.01;94.17;70.19;0.78;;;
3705;;4/6/2023 8:00;9.68;89.49;70.25;0.82;;;
3706;;4/6/2023 9:00;11.48;82.94;70.28;0.91;;;
3707;;4/6/2023 10:00;12.61;78.12;70.27;1.67;;;
3708;;4/6/2023 11:00;13.23;75.64;70.24;2.12;;;
3709;;4/6/2023 12:00;13.46;74.68;70.19;2.97;;;
3710;;4/6/2023 13:00;13.39;74.96;70.14;2.89;;;
3711;;4/6/2023 14:00;13.26;75.11;70.09;1.84;;;
3712;;4/6/2023 15:00;12.88;76.21;70.06;1.47;;;
3713;;4/6/2023 16:00;12.2;78.67;70.05;1.48;;;
3714;;4/6/2023 17:00;10.95;85.39;70.07;1.34;;;
3715;;4/6/2023 18:00;9.28;95.45;70.11;1.17;;;
3716;;4/6/2023 19:00;8.76;97.94;70.15;0.65;;;
3717;;4/6/2023 20:00;8.34;97.99;70.2;0.12;;;
3718;;4/6/2023 21:00;7.68;97.89;70.25;0.1;;;
3719;;4/6/2023 22:00;7.15;97.9;70.28;0.16;;;
3720;;4/6/2023 23:00;6.69;98.32;70.29;0.2;;;
3721;;5/6/2023 0:00;6.45;98.06;70.26;0.22;;;
3722;;5/6/2023 1:00;6.22;98.02;70.2;0.24;;;
3723;;5/6/2023 2:00;5.91;98.76;70.16;0.26;;;
3724;;5/6/2023 3:00;5.6;99.41;70.14;0.3;;;
3725;;5/6/2023 4:00;5.43;99.48;70.15;0.57;;;
3726;;5/6/2023 5:00;5.28;99.56;70.17;1.04;;;
3727;;5/6/2023 6:00;5.83;97.56;70.2;1.73;;;
3728;;5/6/2023 7:00;7.7;92.12;70.25;0.78;;;
3729;;5/6/2023 8:00;9.2;87.78;70.3;0.97;;;
3730;;5/6/2023 9:00;10.39;83.99;70.32;1.42;;;
3731;;5/6/2023 10:00;11.23;81.17;70.31;1.82;;;
3732;;5/6/2023 11:00;12.04;78.18;70.29;2.07;;;
3733;;5/6/2023 12:00;12.6;75.76;70.24;2.11;;;
3734;;5/6/2023 13:00;12.84;74.96;70.17;2.13;;;
3735;;5/6/2023 14:00;12.84;75.04;70.1;2.09;;;
3736;;5/6/2023 15:00;12.47;76.22;70.06;1.91;;;
3737;;5/6/2023 16:00;11.51;80.21;70.06;1.72;;;
3738;;5/6/2023 17:00;10.07;87.4;70.07;1.71;;;
3739;;5/6/2023 18:00;8.53;96.0;70.1;2.07;;;
3740;;5/6/2023 19:00;8.04;97.86;70.15;1.8;;;
3741;;5/6/2023 20:00;7.77;97.85;70.2;1.61;;;
3742;;5/6/2023 21:00;7.39;98.1;70.24;1.33;;;
3743;;5/6/2023 22:00;7.06;98.37;70.26;0.98;;;
3744;;5/6/2023 23:00;6.76;98.26;70.26;0.81;;;
3745;;6/6/2023 0:00;6.3;98.7;70.23;0.72;;;
3746;;6/6/2023 1:00;5.8;99.07;70.18;0.71;;;
3747;;6/6/2023 2:00;5.47;98.84;70.15;0.59;;;
3748;;6/6/2023 3:00;5.32;98.36;70.14;0.47;;;
3749;;6/6/2023 4:00;5.33;97.81;70.15;0.44;;;
3750;;6/6/2023 5:00;5.52;97.29;70.17;0.42;;;
3751;;6/6/2023 6:00;6.25;96.52;70.19;0.4;;;
3752;;6/6/2023 7:00;8.18;92.74;70.23;1.11;;;
3753;;6/6/2023 8:00;9.82;89.96;70.27;1.22;;;
3754;;6/6/2023 9:00;11.35;83.91;70.29;1.49;;;
3755;;6/6/2023 10:00;12.54;78.65;70.28;2.14;;;
3756;;6/6/2023 11:00;13.26;75.37;70.26;2.96;;;
3757;;6/6/2023 12:00;13.44;74.52;70.22;3.56;;;
3758;;6/6/2023 13:00;13.54;74.04;70.17;3.89;;;
3759;;6/6/2023 14:00;13.4;74.52;70.11;3.73;;;
3760;;6/6/2023 15:00;12.91;76.23;70.07;3.21;;;
3761;;6/6/2023 16:00;12.22;78.89;70.06;2.62;;;
3762;;6/6/2023 17:00;10.95;85.56;70.07;1.93;;;
3763;;6/6/2023 18:00;8.99;96.16;70.1;1.75;;;
3764;;6/6/2023 19:00;8.21;99.39;70.14;1.32;;;
3765;;6/6/2023 20:00;7.79;100.0;70.2;1.01;;;
3766;;6/6/2023 21:00;7.39;100.0;70.25;0.79;;;
3767;;6/6/2023 22:00;6.85;100.0;70.27;0.75;;;
3768;;6/6/2023 23:00;6.33;99.82;70.26;0.94;;;
3769;;7/6/2023 0:00;5.81;99.54;70.22;1.2;;;
3770;;7/6/2023 1:00;5.47;98.99;70.17;1.39;;;
3771;;7/6/2023 2:00;5.28;98.24;70.12;2.27;;;
3772;;7/6/2023 3:00;5.12;97.66;70.1;3.46;;;
3773;;7/6/2023 4:00;5.1;97.56;70.11;3.08;;;
3774;;7/6/2023 5:00;5.14;97.69;70.13;2.72;;;
3775;;7/6/2023 6:00;5.86;97.07;70.17;2.41;;;
3776;;7/6/2023 7:00;7.87;93.33;70.22;2.92;;;
3777;;7/6/2023 8:00;9.6;91.19;70.26;2.31;;;
3778;;7/6/2023 9:00;11.18;85.94;70.28;2.07;;;
3779;;7/6/2023 10:00;12.88;79.01;70.28;2.72;;;
3780;;7/6/2023 11:00;13.99;74.09;70.25;3.47;;;
3781;;7/6/2023 12:00;14.39;72.34;70.19;3.68;;;
3782;;7/6/2023 13:00;14.41;72.45;70.13;3.53;;;
3783;;7/6/2023 14:00;14.27;73.05;70.08;3.38;;;
3784;;7/6/2023 15:00;13.74;74.87;70.05;2.97;;;
3785;;7/6/2023 16:00;12.81;78.22;70.06;2.46;;;
3786;;7/6/2023 17:00;11.43;85.38;70.1;1.79;;;
3787;;7/6/2023 18:00;9.42;96.12;70.15;1.19;;;
3788;;7/6/2023 19:00;8.29;100.0;70.21;0.88;;;
3789;;7/6/2023 20:00;7.77;100.0;70.28;0.52;;;
3790;;7/6/2023 21:00;7.28;100.0;70.32;0.36;;;
3791;;7/6/2023 22:00;6.74;100.0;70.33;0.3;;;
3792;;7/6/2023 23:00;6.31;100.0;70.32;0.26;;;
3793;;8/6/2023 0:00;5.93;100.0;70.27;0.22;;;
3794;;8/6/2023 1:00;5.49;100.0;70.2;0.23;;;
3795;;8/6/2023 2:00;5.18;99.71;70.15;0.3;;;
3796;;8/6/2023 3:00;5.08;99.24;70.13;0.42;;;
3797;;8/6/2023 4:00;5.05;99.21;70.14;0.6;;;
3798;;8/6/2023 5:00;5.13;99.32;70.16;0.75;;;
3799;;8/6/2023 6:00;5.87;97.88;70.19;0.85;;;
3800;;8/6/2023 7:00;8.09;93.11;70.25;3.19;;;
3801;;8/6/2023 8:00;9.81;88.95;70.29;5.49;;;
3802;;8/6/2023 9:00;11.36;83.56;70.32;9.46;;;
3803;;8/6/2023 10:00;12.59;78.66;70.32;16.52;;;
3804;;8/6/2023 11:00;13.15;76.18;70.31;23.98;;;
3805;;8/6/2023 12:00;13.53;74.85;70.27;23.67;;;
3806;;8/6/2023 13:00;13.54;74.81;70.21;18.89;;;
3807;;8/6/2023 14:00;13.44;75.18;70.17;13.42;;;
3808;;8/6/2023 15:00;13.09;76.45;70.15;10.97;;;
3809;;8/6/2023 16:00;12.41;79.41;70.16;7.47;;;
3810;;8/6/2023 17:00;11.29;86.21;70.19;5.05;;;
3811;;8/6/2023 18:00;9.21;97.33;70.24;3.57;;;
3812;;8/6/2023 19:00;8.4;100.0;70.29;2.09;;;
3813;;8/6/2023 20:00;7.97;100.0;70.35;0.91;;;
3814;;8/6/2023 21:00;7.6;100.0;70.4;0.63;;;
3815;;8/6/2023 22:00;7.22;100.0;70.42;0.52;;;
3816;;8/6/2023 23:00;6.79;100.0;70.41;0.54;;;
3817;;9/6/2023 0:00;6.39;100.0;70.36;0.67;;;
3818;;9/6/2023 1:00;6.0;99.55;70.3;0.72;;;
3819;;9/6/2023 2:00;5.67;98.72;70.25;0.66;;;
3820;;9/6/2023 3:00;5.34;98.22;70.23;0.55;;;
3821;;9/6/2023 4:00;5.11;98.03;70.23;0.58;;;
3822;;9/6/2023 5:00;4.97;98.24;70.24;0.69;;;
3823;;9/6/2023 6:00;5.62;97.6;70.26;0.99;;;
3824;;9/6/2023 7:00;8.03;92.52;70.29;0.07;;;
3825;;9/6/2023 8:00;10.16;88.29;70.34;0.13;;;
3826;;9/6/2023 9:00;12.24;80.45;70.36;0.25;;;
3827;;9/6/2023 10:00;13.9;73.09;70.35;0.4;;;
3828;;9/6/2023 11:00;14.66;69.81;70.32;0.57;;;
3829;;9/6/2023 12:00;15.27;68.35;70.27;0.72;;;
3830;;9/6/2023 13:00;15.41;68.5;70.2;0.83;;;
3831;;9/6/2023 14:00;14.97;70.47;70.13;0.93;;;
3832;;9/6/2023 15:00;14.19;73.67;70.1;0.95;;;
3833;;9/6/2023 16:00;13.05;78.24;70.11;0.71;;;
3834;;9/6/2023 17:00;11.83;85.21;70.14;0.53;;;
3835;;9/6/2023 18:00;10.08;95.41;70.18;0.39;;;
3836;;9/6/2023 19:00;9.09;100.0;70.22;0.27;;;
3837;;9/6/2023 20:00;8.55;100.0;70.27;0.17;;;
3838;;9/6/2023 21:00;8.15;100.0;70.3;0.11;;;
3839;;9/6/2023 22:00;7.8;100.0;70.31;0.07;;;
3840;;9/6/2023 23:00;7.38;100.0;70.3;0.06;;;
3841;;10/6/2023 0:00;6.92;100.0;70.26;0.04;;;
3842;;10/6/2023 1:00;6.35;99.5;70.21;0.03;;;
3843;;10/6/2023 2:00;5.83;98.97;70.17;0.02;;;
3844;;10/6/2023 3:00;5.54;98.48;70.15;0.02;;;
3845;;10/6/2023 4:00;5.45;97.62;70.15;0.02;;;
3846;;10/6/2023 5:00;5.42;97.84;70.17;0.04;;;
3847;;10/6/2023 6:00;6.11;96.51;70.19;0.07;;;
3848;;10/6/2023 7:00;8.25;90.15;70.24;0.5;;;
3849;;10/6/2023 8:00;10.14;86.71;70.28;0.7;;;
3850;;10/6/2023 9:00;11.77;81.55;70.3;1.39;;;
3851;;10/6/2023 10:00;13.16;76.85;70.3;3.16;;;
3852;;10/6/2023 11:00;13.93;74.32;70.26;4.35;;;
3853;;10/6/2023 12:00;14.34;73.13;70.21;4.27;;;
3854;;10/6/2023 13:00;14.57;72.31;70.13;4.1;;;
3855;;10/6/2023 14:00;14.65;72.15;70.08;3.18;;;
3856;;10/6/2023 15:00;14.16;73.69;70.06;2.3;;;
3857;;10/6/2023 16:00;13.15;77.69;70.07;1.73;;;
3858;;10/6/2023 17:00;11.76;85.65;70.11;1.67;;;
3859;;10/6/2023 18:00;10.04;95.74;70.16;1.7;;;
3860;;10/6/2023 19:00;9.26;98.21;70.22;0.91;;;
3861;;10/6/2023 20:00;8.72;99.26;70.27;0.25;;;
3862;;10/6/2023 21:00;8.26;99.39;70.31;0.12;;;
3863;;10/6/2023 22:00;7.86;98.68;70.32;0.18;;;
3864;;10/6/2023 23:00;7.41;98.48;70.3;0.27;;;
3865;;11/6/2023 0:00;7.08;98.33;70.25;0.3;;;
3866;;11/6/2023 1:00;6.83;98.48;70.19;0.35;;;
3867;;11/6/2023 2:00;6.68;98.4;70.14;0.5;;;
3868;;11/6/2023 3:00;6.55;98.45;70.11;0.84;;;
3869;;11/6/2023 4:00;6.49;98.53;70.12;1.57;;;
3870;;11/6/2023 5:00;6.45;98.85;70.15;2.44;;;
3871;;11/6/2023 6:00;6.98;98.14;70.19;3.67;;;
3872;;11/6/2023 7:00;8.96;93.9;70.23;0.61;;;
3873;;11/6/2023 8:00;10.62;89.45;70.27;0.88;;;
3874;;11/6/2023 9:00;12.41;82.41;70.28;1.21;;;
3875;;11/6/2023 10:00;13.64;76.6;70.27;1.58;;;
3876;;11/6/2023 11:00;14.48;72.91;70.24;1.58;;;
3877;;11/6/2023 12:00;14.98;70.95;70.2;1.52;;;
3878;;11/6/2023 13:00;15.07;70.67;70.14;1.33;;;
3879;;11/6/2023 14:00;14.88;71.29;70.09;1.09;;;
3880;;11/6/2023 15:00;14.06;73.83;70.06;0.87;;;
3881;;11/6/2023 16:00;12.89;78.27;70.07;0.65;;;
3882;;11/6/2023 17:00;11.61;84.78;70.1;0.49;;;
3883;;11/6/2023 18:00;9.72;94.67;70.15;0.48;;;
3884;;11/6/2023 19:00;8.36;99.29;70.21;0.24;;;
3885;;11/6/2023 20:00;7.55;100.0;70.26;0.1;;;
3886;;11/6/2023 21:00;7.02;100.0;70.28;0.06;;;
3887;;11/6/2023 22:00;6.71;97.73;70.29;0.04;;;
3888;;11/6/2023 23:00;6.38;95.41;70.27;0.06;;;
3889;;12/6/2023 0:00;6.01;94.58;70.22;0.05;;;
3890;;12/6/2023 1:00;5.55;94.37;70.16;0.03;;;
3891;;12/6/2023 2:00;5.05;94.59;70.12;0.04;;;
3892;;12/6/2023 3:00;4.56;95.25;70.13;0.04;;;
3893;;12/6/2023 4:00;4.27;95.62;70.15;0.02;;;
3894;;12/6/2023 5:00;3.77;97.82;70.18;0.02;;;
3895;;12/6/2023 6:00;4.51;97.02;70.2;0.03;;;
3896;;12/6/2023 7:00;8.11;86.16;70.24;0.0;;;
3897;;12/6/2023 8:00;10.3;79.36;70.28;0.0;;;
3898;;12/6/2023 9:00;12.25;73.12;70.29;0.0;;;
3899;;12/6/2023 10:00;13.54;70.13;70.28;0.0;;;
3900;;12/6/2023 11:00;14.21;68.84;70.25;0.0;;;
3901;;12/6/2023 12:00;14.26;68.37;70.2;0.01;;;
3902;;12/6/2023 13:00;13.81;69.13;70.14;0.04;;;
3903;;12/6/2023 14:00;13.41;69.96;70.09;0.06;;;
3904;;12/6/2023 15:00;12.76;71.69;70.06;0.08;;;
3905;;12/6/2023 16:00;11.77;74.9;70.06;0.11;;;
3906;;12/6/2023 17:00;10.47;80.7;70.07;0.16;;;
3907;;12/6/2023 18:00;8.22;92.81;70.1;0.21;;;
3908;;12/6/2023 19:00;7.23;97.82;70.13;0.21;;;
3909;;12/6/2023 20:00;6.53;98.22;70.18;0.18;;;
3910;;12/6/2023 21:00;5.89;97.29;70.21;0.15;;;
3911;;12/6/2023 22:00;5.3;96.85;70.22;0.09;;;
3912;;12/6/2023 23:00;4.8;97.55;70.22;0.04;;;
3913;;13/6/2023 0:00;4.26;99.37;70.18;0.03;;;
3914;;13/6/2023 1:00;3.97;100.0;70.12;0.02;;;
3915;;13/6/2023 2:00;3.89;100.0;70.08;0.01;;;
3916;;13/6/2023 3:00;3.96;100.0;70.07;0.0;;;
3917;;13/6/2023 4:00;4.22;100.0;70.09;0.0;;;
3918;;13/6/2023 5:00;4.6;100.0;70.11;0.0;;;
3919;;13/6/2023 6:00;5.66;100.0;70.14;0.0;;;
3920;;13/6/2023 7:00;7.77;89.69;70.18;1.22;;;
3921;;13/6/2023 8:00;9.68;81.37;70.22;1.8;;;
3922;;13/6/2023 9:00;11.58;74.73;70.23;2.06;;;
3923;;13/6/2023 10:00;12.71;72.85;70.22;2.22;;;
3924;;13/6/2023 11:00;13.2;72.81;70.21;2.2;;;
3925;;13/6/2023 12:00;13.26;73.0;70.17;2.26;;;
3926;;13/6/2023 13:00;13.24;72.47;70.13;2.35;;;
3927;;13/6/2023 14:00;13.24;71.55;70.09;2.35;;;
3928;;13/6/2023 15:00;12.81;72.13;70.06;2.05;;;
3929;;13/6/2023 16:00;11.97;74.64;70.07;1.64;;;
3930;;13/6/2023 17:00;10.63;81.96;70.09;1.2;;;
3931;;13/6/2023 18:00;8.19;94.89;70.12;1.08;;;
3932;;13/6/2023 19:00;7.06;100.0;70.16;0.71;;;
3933;;13/6/2023 20:00;6.5;100.0;70.19;0.56;;;
3934;;13/6/2023 21:00;5.99;100.0;70.22;1.04;;;
3935;;13/6/2023 22:00;5.64;100.0;70.22;1.9;;;
3936;;13/6/2023 23:00;5.54;100.0;70.19;2.25;;;
3937;;14/6/2023 0:00;5.55;99.51;70.14;2.54;;;
3938;;14/6/2023 1:00;5.71;98.32;70.07;2.47;;;
3939;;14/6/2023 2:00;6.06;97.8;70.03;2.56;;;
3940;;14/6/2023 3:00;6.4;97.59;70.01;2.7;;;
3941;;14/6/2023 4:00;6.58;97.2;70.01;3.12;;;
3942;;14/6/2023 5:00;6.66;97.26;70.03;3.58;;;
3943;;14/6/2023 6:00;7.02;97.24;70.05;3.77;;;
3944;;14/6/2023 7:00;8.3;95.26;70.09;8.8;;;
3945;;14/6/2023 8:00;9.76;91.98;70.12;8.11;;;
3946;;14/6/2023 9:00;11.27;87.09;70.13;7.44;;;
3947;;14/6/2023 10:00;12.4;81.43;70.12;6.58;;;
3948;;14/6/2023 11:00;13.06;77.09;70.12;6.29;;;
3949;;14/6/2023 12:00;13.17;75.36;70.12;8.17;;;
3950;;14/6/2023 13:00;12.87;75.57;70.1;10.58;;;
3951;;14/6/2023 14:00;12.35;76.44;70.07;12.8;;;
3952;;14/6/2023 15:00;11.77;78.18;70.04;12.93;;;
3953;;14/6/2023 16:00;10.84;82.04;70.04;11.76;;;
3954;;14/6/2023 17:00;9.6;88.42;70.06;7.1;;;
3955;;14/6/2023 18:00;8.25;96.2;70.1;3.98;;;
3956;;14/6/2023 19:00;7.78;98.0;70.13;2.6;;;
3957;;14/6/2023 20:00;7.63;97.87;70.15;2.53;;;
3958;;14/6/2023 21:00;7.37;97.92;70.17;3.21;;;
3959;;14/6/2023 22:00;7.02;97.63;70.18;3.21;;;
3960;;14/6/2023 23:00;6.7;97.61;70.15;3.77;;;
3961;;15/6/2023 0:00;6.41;97.43;70.11;6.84;;;
3962;;15/6/2023 1:00;6.16;97.4;70.06;9.94;;;
3963;;15/6/2023 2:00;6.06;97.2;70.02;11.76;;;
3964;;15/6/2023 3:00;6.12;97.24;70.0;12.88;;;
3965;;15/6/2023 4:00;6.33;97.24;70.0;15.11;;;
3966;;15/6/2023 5:00;6.47;97.25;70.02;17.53;;;
3967;;15/6/2023 6:00;6.76;97.06;70.04;21.39;;;
3968;;15/6/2023 7:00;7.9;95.47;70.08;4.75;;;
3969;;15/6/2023 8:00;9.21;92.86;70.12;5.46;;;
3970;;15/6/2023 9:00;10.48;88.81;70.14;5.82;;;
3971;;15/6/2023 10:00;11.63;83.1;70.15;6.26;;;
3972;;15/6/2023 11:00;11.95;79.76;70.14;7.23;;;
3973;;15/6/2023 12:00;11.94;78.26;70.11;7.94;;;
3974;;15/6/2023 13:00;11.84;77.93;70.07;8.06;;;
3975;;15/6/2023 14:00;11.55;78.57;70.02;7.87;;;
3976;;15/6/2023 15:00;11.31;79.63;69.99;7.46;;;
3977;;15/6/2023 16:00;10.49;83.4;70.0;7.11;;;
3978;;15/6/2023 17:00;9.3;89.61;70.03;6.93;;;
3979;;15/6/2023 18:00;8.14;96.46;70.06;6.34;;;
3980;;15/6/2023 19:00;7.66;97.6;70.1;5.58;;;
3981;;15/6/2023 20:00;7.34;97.53;70.14;4.77;;;
3982;;15/6/2023 21:00;7.21;97.46;70.17;4.05;;;
3983;;15/6/2023 22:00;7.28;97.23;70.18;3.38;;;
3984;;15/6/2023 23:00;7.25;97.2;70.17;3.03;;;
3985;;16/6/2023 0:00;7.18;97.06;70.14;2.91;;;
3986;;16/6/2023 1:00;7.1;97.2;70.09;2.84;;;
3987;;16/6/2023 2:00;7.04;97.22;70.05;2.84;;;
3988;;16/6/2023 3:00;6.99;97.31;70.04;2.91;;;
3989;;16/6/2023 4:00;6.98;97.28;70.05;2.86;;;
3990;;16/6/2023 5:00;6.98;97.43;70.08;2.86;;;
3991;;16/6/2023 6:00;7.22;97.21;70.12;3.1;;;
3992;;16/6/2023 7:00;8.42;95.4;70.17;4.97;;;
3993;;16/6/2023 8:00;9.78;91.13;70.2;5.8;;;
3994;;16/6/2023 9:00;11.28;84.22;70.22;6.33;;;
3995;;16/6/2023 10:00;12.26;78.64;70.23;6.81;;;
3996;;16/6/2023 11:00;12.71;75.88;70.22;6.72;;;
3997;;16/6/2023 12:00;12.85;74.25;70.18;6.39;;;
3998;;16/6/2023 13:00;12.79;73.8;70.13;6.22;;;
3999;;16/6/2023 14:00;12.46;74.6;70.08;5.98;;;
4000;;16/6/2023 15:00;11.76;76.95;70.05;5.42;;;
4001;;16/6/2023 16:00;10.62;81.43;70.04;4.66;;;
4002;;16/6/2023 17:00;9.18;87.79;70.06;3.71;;;
4003;;16/6/2023 18:00;7.53;96.42;70.09;3.23;;;
4004;;16/6/2023 19:00;6.95;98.26;70.13;2.17;;;
4005;;16/6/2023 20:00;6.5;98.54;70.18;1.62;;;
4006;;16/6/2023 21:00;6.12;98.95;70.21;1.32;;;
4007;;16/6/2023 22:00;5.79;99.07;70.22;0.92;;;
4008;;16/6/2023 23:00;5.42;99.39;70.21;0.59;;;
4009;;17/6/2023 0:00;5.09;99.37;70.18;0.49;;;
4010;;17/6/2023 1:00;4.93;98.63;70.14;0.44;;;
4011;;17/6/2023 2:00;4.73;98.16;70.12;0.41;;;
4012;;17/6/2023 3:00;4.53;97.96;70.12;0.41;;;
4013;;17/6/2023 4:00;4.27;98.04;70.14;0.49;;;
4014;;17/6/2023 5:00;4.03;97.96;70.17;0.68;;;
4015;;17/6/2023 6:00;4.45;96.08;70.19;0.97;;;
4016;;17/6/2023 7:00;6.25;92.46;70.23;0.66;;;
4017;;17/6/2023 8:00;7.92;88.99;70.26;0.79;;;
4018;;17/6/2023 9:00;9.21;83.66;70.28;0.83;;;
4019;;17/6/2023 10:00;10.22;79.6;70.27;0.86;;;
4020;;17/6/2023 11:00;10.64;78.77;70.25;0.93;;;
4021;;17/6/2023 12:00;10.59;79.0;70.22;0.97;;;
4022;;17/6/2023 13:00;10.79;77.57;70.18;1.03;;;
4023;;17/6/2023 14:00;10.8;76.87;70.14;1.18;;;
4024;;17/6/2023 15:00;10.38;77.96;70.11;1.24;;;
4025;;17/6/2023 16:00;9.53;81.01;70.09;1.15;;;
4026;;17/6/2023 17:00;8.16;87.12;70.09;0.93;;;
4027;;17/6/2023 18:00;6.82;95.72;70.1;0.76;;;
4028;;17/6/2023 19:00;6.53;97.34;70.12;0.73;;;
4029;;17/6/2023 20:00;6.1;96.76;70.16;0.58;;;
4030;;17/6/2023 21:00;5.68;97.21;70.18;0.57;;;
4031;;17/6/2023 22:00;5.39;97.2;70.19;0.58;;;
4032;;17/6/2023 23:00;5.2;97.1;70.18;0.63;;;
4033;;18/6/2023 0:00;5.11;97.29;70.15;0.66;;;
4034;;18/6/2023 1:00;5.09;97.37;70.12;0.63;;;
4035;;18/6/2023 2:00;5.05;97.22;70.09;0.58;;;
4036;;18/6/2023 3:00;5.01;97.11;70.08;0.52;;;
4037;;18/6/2023 4:00;5.0;97.19;70.1;0.55;;;
4038;;18/6/2023 5:00;5.07;97.25;70.12;0.65;;;
4039;;18/6/2023 6:00;5.38;96.84;70.14;0.77;;;
4040;;18/6/2023 7:00;6.47;93.79;70.19;0.04;;;
4041;;18/6/2023 8:00;7.8;89.26;70.24;0.04;;;
4042;;18/6/2023 9:00;9.1;84.28;70.27;0.04;;;
4043;;18/6/2023 10:00;10.13;80.54;70.28;0.04;;;
